오피스텔매매가격지수_지역코드|오피스텔매매가격지수_지역명|시군구코드현행화|시도명현행화|시군구명현행화
0003|지방|42770|강원도|정선군
0003|지방|42780|강원도|철원군
0003|지방|42790|강원도|화천군
0003|지방|42800|강원도|양구군
0003|지방|42810|강원도|인제군
0003|지방|42820|강원도|고성군
0003|지방|42830|강원도|양양군
0003|지방|42840|강원도|명주군
0003|지방|42850|강원도|삼척군
0003|지방|51000|강원특별자치도|
0003|지방|51050|강원특별자치도|울진군
0003|지방|51110|강원특별자치도|춘천시
0003|지방|51130|강원특별자치도|원주시
0003|지방|51150|강원특별자치도|강릉시
0003|지방|51170|강원특별자치도|동해시
0003|지방|51190|강원특별자치도|태백시
0003|지방|51210|강원특별자치도|속초시
0003|지방|51230|강원특별자치도|삼척시
0003|지방|51710|강원특별자치도|춘성군
0003|지방|51715|강원특별자치도|춘천군
0003|지방|51720|강원특별자치도|홍천군
0003|지방|51730|강원특별자치도|횡성군
0003|지방|51740|강원특별자치도|원성군
0003|지방|51745|강원특별자치도|원주군
0003|지방|51750|강원특별자치도|영월군
0003|지방|51760|강원특별자치도|평창군
0003|지방|51770|강원특별자치도|정선군
0003|지방|51780|강원특별자치도|철원군
0003|지방|51790|강원특별자치도|화천군
0003|지방|51800|강원특별자치도|양구군
0003|지방|51810|강원특별자치도|인제군
0003|지방|51820|강원특별자치도|고성군
0003|지방|51830|강원특별자치도|양양군
0003|지방|51840|강원특별자치도|명주군
0003|지방|51850|강원특별자치도|삼척군
0003|지방|43000|충청북도|
0003|지방|43050|충청북도|제천군
0003|지방|43110|충청북도|청주시
0003|지방|43111|충청북도|청주시 상당구
0003|지방|43112|충청북도|청주시 서원구
0003|지방|43113|충청북도|청주시 흥덕구
0003|지방|43114|충청북도|청주시 청원구
0003|지방|43130|충청북도|충주시
0003|지방|43150|충청북도|제천시
0003|지방|43710|충청북도|청원군
0003|지방|43720|충청북도|보은군
0003|지방|43730|충청북도|옥천군
0003|지방|43740|충청북도|영동군
0003|지방|43745|충청북도|증평군
0003|지방|43750|충청북도|진천군
0003|지방|43760|충청북도|괴산군
0003|지방|43770|충청북도|음성군
0003|지방|43780|충청북도|중원군
0003|지방|43790|충청북도|제원군
0003|지방|43795|충청북도|제천군
0003|지방|43800|충청북도|단양군
0003|지방|44000|충청남도|
0003|지방|44050|충청남도|천안군
00030004|대전|44110|충청남도|대전시
00030004|대전|44111|충청남도|대전시 동구
00030004|대전|44113|충청남도|대전시 중구
00030004|대전|44115|충청남도|대전시 서구
0003|지방|44130|충청남도|천안시
0003|지방|44131|충청남도|천안시 동남구
0003|지방|44133|충청남도|천안시 서북구
0003|지방|44150|충청남도|공주시
0003|지방|44170|충청남도|대천시
0003|지방|44180|충청남도|보령시
0003|지방|44190|충청남도|온양시
0003|지방|44200|충청남도|아산시
0003|지방|44210|충청남도|서산시
0003|지방|44230|충청남도|논산시
0003|지방|44250|충청남도|계룡시
0003|지방|44270|충청남도|당진시
0003|지방|44710|충청남도|금산군
00030004|대전|44720|충청남도|대덕군
0003|지방|44740|충청남도|공주군
0003|지방|44750|충청남도|논산군
0003|지방|44760|충청남도|부여군
0003|지방|44770|충청남도|서천군
0003|지방|44780|충청남도|보령군
0003|지방|44790|충청남도|청양군
0003|지방|44800|충청남도|홍성군
0003|지방|44810|충청남도|예산군
0003|지방|44820|충청남도|서산군
0003|지방|44825|충청남도|태안군
0003|지방|44830|충청남도|당진군
0003|지방|44840|충청남도|아산군
0003|지방|44850|충청남도|천원군
0003|지방|44860|충청남도|천안군
0003|지방|45000|전라북도|
0003|지방|45050|전라북도|금산군
0003|지방|45110|전라북도|전주시
0003|지방|45111|전라북도|전주시 완산구
0003|지방|45113|전라북도|전주시 덕진구
